Raster,Node,Inundated Area,Final Depth,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage
cell1570,36L71RW,800.0,0.03687375,0.0,0.0,0.0,697.6539609239834,0.0,4468.917329445891,5166.571290369874
cell2602,68RW,2300.0,0.045810000000000003,0.0,15158.775742472046,0.0,714.8194520418384,0.0,4946.982359014365,20820.57755352825
cell3062,36L44RW,1200.0,0.0355875,0.0,5918.762764090233,0.0,0.0,0.0,5083.022255659621,11001.785019749854
cell3420,69RW,1300.0,0.03903692307692307,0.0,0.0,0.0,110.31695241183675,0.0,13994.43037429995,14104.747326711786
cell3526,81RW,1000.0,0.040515,0.0,0.0,0.0,0.0,0.0,11521.821268363865,11521.821268363865
cell4121,36Q109RW,500.0,0.037494,0.0,2515.539924570939,0.0,0.0,0.0,2248.7841146327573,4764.324039203697
cell4337,36Q114RW,300.0,0.02112,0.0,0.0,0.0,0.0,0.0,2401.6920603711214,2401.6920603711214
cell4578,36Q88RW,400.0,0.041917499999999996,0.0,0.0,0.0,0.0,0.0,4672.850717262969,4672.850717262969
cell4580,36Q86RW,1700.0,0.04139999999999999,0.0,2035.5481396631797,0.0,0.0,0.0,17236.87882913201,19272.42696879519
cell5169,36R83RW,4200.0,0.04871285714285714,0.0,2406.416923188708,0.0,0.0,31377.31743045399,15932.506320347993,49716.240673990695
cell5232,84RW,1200.0,0.04268,0.0,2096.116498931867,0.0,494.9548400934089,0.0,0.0,2591.0713390252763
cell5470,85RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5627,36Q69RW,400.0,0.036532499999999996,0.0,0.0,0.0,0.0,86.82062128946671,4820.6025976543515,4907.423218943818
cell5820,87RW,400.0,0.0201,0.0,0.0,0.0,0.0,0.0,3114.877036252854,3114.877036252854
cell6059,36Q153RW,2200.0,0.04541454545454546,0.0,13902.389099810665,0.0,670.0793581290817,0.0,5587.545203451908,20160.013661391655
cell6179,83RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell6427,78RW,3300.0,0.048620000000000003,0.0,13610.243311208202,0.0,0.0,0.0,24822.320328993446,38432.563640201646
cell6868,36Q166RW,1300.0,0.042473076923076926,0.0,0.0,0.0,256.5777701804184,0.0,13806.788685790307,14063.366455970725
