Raster,Node,Inundated Area,Final Depth,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage
cell1570,36L71RW,400.0,0.023370000000000002,0.0,0.0,0.0,187.95152631739433,0.0,2235.2269196150423,2423.1784459324367
cell2602,68RW,1900.0,0.042876315789473686,0.0,10992.738087574442,0.0,664.4443259526747,0.0,4653.379934084196,16310.562347611312
cell3062,36L44RW,600.0,0.048485,0.0,3005.058911645189,0.0,0.0,0.0,3950.611352362881,6955.670264008069
cell3420,69RW,800.0,0.044448749999999995,0.0,0.0,0.0,0.0,0.0,9707.40904075346,9707.40904075346
cell3526,81RW,800.0,0.03455625,0.0,0.0,0.0,0.0,0.0,8433.292176582074,8433.292176582074
cell4121,36Q109RW,300.0,0.04396,0.0,1078.978899709836,0.0,0.0,0.0,2263.64932897565,3342.6282286854857
cell4578,36Q88RW,400.0,0.03297,0.0,0.0,0.0,0.0,0.0,4633.636305236662,4633.636305236662
cell4580,36Q86RW,1200.0,0.04372,0.0,1324.7855981673713,0.0,0.0,0.0,12762.51572749675,14087.30132566412
cell5169,36R83RW,3500.0,0.04332600000000001,0.0,1217.994911287623,0.0,0.0,24769.922116031394,12566.836742197602,38554.75376951662
cell5232,84RW,1200.0,0.0338375,0.0,1750.7118070036781,0.0,434.4417271251837,0.0,0.0,2185.153534128862
cell5470,85RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5627,36Q69RW,200.0,0.03483,0.0,0.0,0.0,0.0,84.1488712000455,2159.2682731518585,2243.417144351904
cell5820,87RW,400.0,0.0187125,0.0,0.0,0.0,0.0,0.0,2992.809687659413,2992.809687659413
cell6059,36Q153RW,2200.0,0.03242727272727273,0.0,10706.096269544341,0.0,554.5723457122137,0.0,4628.738179169806,15889.40679442636
cell6427,78RW,2500.0,0.0475692,0.0,10245.60182750507,0.0,0.0,0.0,18036.869013218013,28282.470840723083
cell6868,36Q166RW,1300.0,0.03159,0.0,0.0,0.0,217.27240545111917,0.0,11701.410183304703,11918.682588755823
