Raster,Node,Inundated Area,Final Depth,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage
cell1570,36L71RW,400.0,0.0234225,0.0,0.0,0.0,188.1885748329409,0.0,2238.0319742423917,2426.2205490753327
cell2602,68RW,1900.0,0.042851052631578936,0.0,10987.71416921381,0.0,664.2243935153479,0.0,4651.847332581897,16303.785895311055
cell3062,36L44RW,600.0,0.048295000000000005,0.0,2995.9213944462563,0.0,0.0,0.0,3941.951300068588,6937.872694514845
cell3420,69RW,800.0,0.044414999999999996,0.0,0.0,0.0,0.0,0.0,9703.288782731346,9703.288782731346
cell3526,81RW,800.0,0.034484999999999995,0.0,0.0,0.0,0.0,0.0,8423.569470416596,8423.569470416596
cell4121,36Q109RW,300.0,0.04391,0.0,1078.0269401096834,0.0,0.0,0.0,2262.2099850821965,3340.23692519188
cell4578,36Q88RW,400.0,0.032865,0.0,0.0,0.0,0.0,0.0,4640.099228933579,4640.099228933579
cell4580,36Q86RW,1200.0,0.043899999999999995,0.0,1329.013991922664,0.0,0.0,0.0,12791.856328094347,14120.870320017011
cell5169,36R83RW,3500.0,0.043345714285714286,0.0,1218.424738152948,0.0,0.0,24777.302017838032,12570.032316774817,38565.759072765795
cell5232,84RW,1200.0,0.0338275,0.0,1750.3105075261012,0.0,434.3696054481073,0.0,0.0,2184.6801129742084
cell5470,85RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5627,36Q69RW,200.0,0.034725,0.0,0.0,0.0,0.0,83.98377593629648,2157.9482679918992,2241.9320439281955
cell5820,87RW,400.0,0.0186675,0.0,0.0,0.0,0.0,0.0,2988.785071582197,2988.785071582197
cell6059,36Q153RW,2200.0,0.03236863636363636,0.0,10691.07821359872,0.0,554.0088489120193,0.0,4624.058386132481,15869.14544864322
cell6427,78RW,2500.0,0.0475812,0.0,10247.606384373697,0.0,0.0,0.0,18168.850133390122,28416.45651776382
cell6868,36Q166RW,1300.0,0.03153230769230769,0.0,0.0,0.0,217.0494329954896,0.0,11689.461621213994,11906.511054209483
