Raster,Node,Inundated Area,Final Depth,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage
cell1570,36L71RW,400.0,0.024562499999999998,0.0,0.0,0.0,193.27975187967024,0.0,2298.27293588637,2491.55268776604
cell2602,68RW,1900.0,0.041868947368421054,0.0,10791.889404248619,0.0,655.6299878227863,0.0,4591.9551368502525,16039.474528921657
cell3062,36L44RW,1200.0,0.028510000000000004,0.0,4983.568694755515,0.0,0.0,0.0,4490.552666958741,9474.121361714257
cell3420,69RW,1300.0,0.03125076923076922,0.0,0.0,0.0,97.35845756649015,0.0,12358.255693810224,12455.614151376714
cell3526,81RW,800.0,0.039828749999999996,0.0,0.0,0.0,0.0,0.0,9129.869054834522,9129.869054834522
cell4121,36Q109RW,300.0,0.048479999999999995,0.0,1164.0718135250586,0.0,0.0,0.0,2390.9205970513913,3554.99241057645
cell4578,36Q88RW,400.0,0.030067500000000004,0.0,0.0,0.0,0.0,0.0,4571.817976401997,4571.817976401997
cell4580,36Q86RW,1200.0,0.043497499999999995,0.0,1319.5534300259033,0.0,0.0,0.0,12726.173742465618,14045.727172491523
cell5169,36R83RW,3500.0,0.04581771428571429,0.0,1271.9814669088512,0.0,0.0,25694.18475351313,12965.783376631643,39931.94959705362
cell5232,84RW,1200.0,0.03389999999999999,0.0,1753.2193261900504,0.0,434.8922761235926,0.0,0.0,2188.111602313643
cell5470,85RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5627,36Q69RW,200.0,0.0492,0.0,0.0,0.0,0.0,105.44327225338655,2402.365906430011,2507.8091786833975
cell5820,87RW,400.0,0.016890000000000002,0.0,0.0,0.0,0.0,0.0,2826.2257024017176,2826.2257024017176
cell6059,36Q153RW,2200.0,0.0330340909090909,0.0,10861.160347042776,0.0,560.3778767936872,0.0,4676.951245657643,16098.489469494107
cell6427,78RW,2500.0,0.049635599999999995,0.0,10589.142955652002,0.0,0.0,0.0,17213.203812849893,27802.346768501895
cell6868,36Q166RW,1300.0,0.032367692307692306,0.0,0.0,0.0,220.26084971931857,0.0,11861.547909327895,12081.808759047213
