Raster,Node,Inundated Area,Final Depth,Agriculture,Commercial,Industry,Infrastructure,Mixed Area,Residential,Total Damage
cell2602,68RW,1200.0,0.03767,0.0,5526.533745322292,0.0,289.46109400015206,0.0,4328.5867530290525,10144.581592351497
cell3420,69RW,500.0,0.04324199999999999,0.0,0.0,0.0,0.0,0.0,5974.5112018066075,5974.5112018066075
cell3526,81RW,500.0,0.017141999999999998,0.0,0.0,0.0,0.0,0.0,3562.145138727794,3562.145138727794
cell4121,36Q109RW,300.0,0.02059,0.0,599.1413238774466,0.0,0.0,0.0,1481.517350831183,2080.6586747086294
cell4578,36Q88RW,400.0,0.0231675,0.0,0.0,0.0,0.0,0.0,3894.971747989229,3894.971747989229
cell4580,36Q86RW,800.0,0.037559999999999996,0.0,1177.5822043527296,0.0,0.0,0.0,7306.232910988848,8483.815115341578
cell5169,36R83RW,1900.0,0.04897894736842105,0.0,0.0,0.0,0.0,16528.522931017313,6133.489205082524,22662.01213609984
cell5232,84RW,600.0,0.041019999999999994,0.0,253.68897280977882,0.0,329.597948960087,0.0,0.0,583.2869217698658
cell5627,36Q69RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5820,87RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell6059,36Q153RW,900.0,0.041133333333333334,0.0,6820.456239283767,0.0,0.0,0.0,1773.410919640302,8593.86715892407
cell6427,78RW,1600.0,0.044236874999999995,0.0,9270.131736245019,0.0,0.0,0.0,5873.747904144173,15143.879640389192
cell6868,36Q166RW,600.0,0.037475,0.0,0.0,0.0,0.0,0.0,6618.203135322843,6618.203135322843
