Raster,Node,Final Depth,Agriculture,Commercial,Industry,Infrastructure,No Damage,Mixed Area,Residential,Water Bodies,Total Area
cell1570,36L71RW,0.03687375,0.0,0.0,0.0,390.80716051866636,0.0,0.0,408.4442818940745,0.0,799.2514424127409
cell2602,68RW,0.045810000000000003,0.0,1526.5588126114292,0.0,354.47248167970923,0.0,0.0,400.4962529169123,0.0,2281.5275472080507
cell3062,36L44RW,0.0355875,0.0,724.9946841578827,0.0,0.0,0.0,0.0,473.88247946122885,0.0,1198.8771636191116
cell3420,69RW,0.03903692307692307,0.0,0.0,0.0,59.84914939666846,0.0,0.0,1238.934444524037,0.0,1298.7835939207055
cell3526,81RW,0.040515,0.0,0.0,0.0,0.0,0.0,0.0,999.0643030159272,0.0,999.0643030159272
cell4121,36Q109RW,0.037494,0.0,295.9079795614832,0.0,0.0,0.0,0.0,203.624171946479,0.0,499.5321515079622
cell4337,36Q114RW,0.02112,0.0,0.0,0.0,0.0,0.0,0.0,299.71929090477806,0.0,299.71929090477806
cell4578,36Q88RW,0.041917499999999996,0.0,0.0,0.0,0.0,0.0,0.0,399.6257212063696,0.0,399.6257212063696
cell4580,36Q86RW,0.04139999999999999,0.0,221.73085314259998,0.0,0.0,0.0,0.0,1476.6784619844773,0.0,1698.4093151270772
cell5169,36R83RW,0.04871285714285714,0.0,231.0599684063778,0.0,0.0,0.0,2705.134077939881,1246.3180715758606,0.0,4182.51211792212
cell5232,84RW,0.04268,0.0,222.99934032987545,0.0,255.39717164319478,0.0,0.0,0.0,0.0,478.39651197307023
cell5470,85RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5627,36Q69RW,0.036532499999999996,0.0,0.0,0.0,0.0,0.0,9.032285489238898,390.59343571713123,0.0,399.62572120637014
cell5820,87RW,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,399.6257212063704,0.0,399.6257212063704
cell6059,36Q153RW,0.04541454545454546,0.0,1409.4810268512406,0.0,333.9084298873028,0.0,0.0,454.5520098964927,0.0,2197.9414666350362
cell6179,83RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell6427,78RW,0.048620000000000003,0.0,1308.4250775837754,0.0,0.0,0.0,0.0,1943.0814427302023,0.0,3251.5065203139775
cell6868,36Q166RW,0.042473076923076926,0.0,0.0,0.0,132.75628998264358,0.0,0.0,1166.0273039380602,0.0,1298.7835939207039
