Raster,Node,Final Depth,Agriculture,Commercial,Industry,Infrastructure,No Damage,Mixed Area,Residential,Water Bodies,Total Area
cell1570,36L71RW,0.023370000000000002,0.0,0.0,0.0,136.0247127838167,0.0,0.0,263.60100842255287,0.0,399.6257212063696
cell2602,68RW,0.042876315789473686,0.0,1165.3281374738542,0.0,341.97126015772676,0.0,0.0,390.92277809867954,0.0,1898.2221757302607
cell3062,36L44RW,0.048485,0.0,289.5916970263509,0.0,0.0,0.0,0.0,309.8468847832051,0.0,599.438581809556
cell3420,69RW,0.044448749999999995,0.0,0.0,0.0,0.0,0.0,0.0,799.2514424127402,0.0,799.2514424127402
cell3526,81RW,0.03455625,0.0,0.0,0.0,0.0,0.0,0.0,799.2514424127424,0.0,799.2514424127424
cell4121,36Q109RW,0.04396,0.0,112.18831550421135,0.0,0.0,0.0,0.0,187.53097540056555,0.0,299.7192909047769
cell4578,36Q88RW,0.03297,0.0,0.0,0.0,0.0,0.0,0.0,399.6257212063696,0.0,399.6257212063696
cell4580,36Q86RW,0.04372,0.0,138.33251926988086,0.0,0.0,0.0,0.0,1060.5446443492317,0.0,1198.8771636191125
cell5169,36R83RW,0.04332600000000001,0.0,128.07768767037126,0.0,0.0,0.0,2306.001451580253,1049.5810614070895,0.0,3483.660200657714
cell5232,84RW,0.0338375,0.0,222.99934032987545,0.0,255.39717164319478,0.0,0.0,0.0,0.0,478.39651197307023
cell5470,85RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5627,36Q69RW,0.03483,0.0,0.0,0.0,0.0,0.0,9.032285489238898,190.7805751139459,0.0,199.8128606031848
cell5820,87RW,0.0187125,0.0,0.0,0.0,0.0,0.0,0.0,399.6257212063704,0.0,399.6257212063704
cell6059,36Q153RW,0.03242727272727273,0.0,1409.4810268512406,0.0,333.9084298873028,0.0,0.0,454.5520098964927,0.0,2197.9414666350362
cell6427,78RW,0.0475692,0.0,1002.0600807878957,0.0,0.0,0.0,0.0,1439.9572993790914,0.0,2442.017380166987
cell6868,36Q166RW,0.03159,0.0,0.0,0.0,132.75628998264358,0.0,0.0,1166.0273039380602,0.0,1298.7835939207039
