Raster,Node,Final Depth,Agriculture,Commercial,Industry,Infrastructure,No Damage,Mixed Area,Residential,Water Bodies,Total Area
cell2602,68RW,0.03767,0.0,647.7401806619858,0.0,160.2142048584467,0.0,0.0,390.92277809867954,0.0,1198.877163619112
cell3420,69RW,0.04324199999999999,0.0,0.0,0.0,0.0,0.0,0.0,499.5321515079622,0.0,499.5321515079622
cell3526,81RW,0.017141999999999998,0.0,0.0,0.0,0.0,0.0,0.0,499.53215150796393,0.0,499.53215150796393
cell4121,36Q109RW,0.02059,0.0,112.18831550421135,0.0,0.0,0.0,0.0,187.53097540056555,0.0,299.7192909047769
cell4578,36Q88RW,0.0231675,0.0,0.0,0.0,0.0,0.0,0.0,399.6257212063696,0.0,399.6257212063696
cell4580,36Q86RW,0.037559999999999996,0.0,138.33251926988086,0.0,0.0,0.0,0.0,660.91892314286,0.0,799.2514424127409
cell5169,36R83RW,0.04897894736842105,0.0,0.0,0.0,0.0,0.0,1419.8894136059955,478.3327621242653,0.0,1898.222175730261
cell5232,84RW,0.041019999999999994,0.0,27.832510019838335,0.0,173.90513262099637,0.0,0.0,0.0,0.0,201.7376426408347
cell5627,36Q69RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell5820,87RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell6059,36Q153RW,0.041133333333333334,0.0,746.6805677106848,0.0,0.0,0.0,0.0,152.47730500364742,0.0,899.1578727143323
cell6427,78RW,0.044236874999999995,0.0,959.192356391397,0.0,0.0,0.0,0.0,484.90334746947894,0.0,1444.0957038608758
cell6868,36Q166RW,0.037475,0.0,0.0,0.0,0.0,0.0,0.0,599.4385818095552,0.0,599.4385818095552
