datetime,36L44RW,36L71RW,36Q109RW,36Q114RW,36Q153RW,36Q166RW,36Q69RW,36Q86RW,36Q88RW,36R83RW,68RW,69RW,78RW,81RW,83RW,84RW,85RW,86RW,87RW
2018-07-20 14:29:44,0,0,0,0,0,0,0,0,0,20.49,0,0,2.69,0,0,0,0,0,0
2018-07-20 14:34:44,0,0,0,0,0,0,0,0,0,21.32,12.85,0,5.67,0,0,0,0,0,0
2018-07-20 14:39:44,0,0,0,0,2.99,0,0,2.78,0,35.23,24.18,0,19.97,0,0,0,0,0,0
2018-07-20 14:44:44,0,0,0,0,16.96,0.85,0,12.17,6.11,52.12,30.9,0,36.32,0,0,7.54,0,0,3.83
2018-07-20 14:49:44,0,0,0,0,37.22,18.24,0,35.51,23.81,86.87,50.03,0,70.68,0,0,23.37,0,0,5.66
2018-07-20 14:54:44,142.35,98.33,62.49,21.12,248.76,161.79,48.71,161.87,25.97,383.95,181.44,169.16,356.91,135.05,14.3,131.49,9.83,20.68,11.21
2018-07-20 14:59:44,0,0,0,0,23.61,3.17,0,18.12,0,31.05,23.23,0,29.66,0,0,7.63,0,0,3.44
2018-07-20 15:04:44,0,0,0,0,3.5,0,0,4.15,0,19.84,14.82,0,10.91,0,0,0.69,0,0,2.66
2018-07-20 15:09:44,0,0,0,0,0,0,0,0,0,11.67,6.43,0,2.01,0,0,0,0,0,0
2018-07-20 15:14:44,0,0,0,0,0,0,0,0,0,10.18,3.96,0,0,0,0,0,0,0,0
2018-07-20 15:19:44,0,0,0,0,0,0,0,0,0,9.26,3.37,0,0,0,0,0,0,0,0
