datetime,36L44RW,36L71RW,36Q109RW,36Q153RW,36Q166RW,36Q69RW,36Q86RW,36Q88RW,36R83RW,68RW,69RW,78RW,81RW,84RW,85RW,86RW,87RW
2018-07-20 14:29:44,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0
2018-07-20 14:34:44,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0
2018-07-20 14:39:44,0,0,0,0,0,0,0,0,25.55,17.05,0,10.16,0,0,0,0,0
2018-07-20 14:44:44,0,0,0,8.9,0,0,6.34,1.1,40.68,26.81,0,25.68,0,4.38,0,0,3.33
2018-07-20 14:49:44,0,0,0,23.45,7.74,0,20.21,13.01,67.6,37.57,0,50.63,0,12.84,0,0,4.53
2018-07-20 14:54:44,115.08,32.01,48.52,192.7,132.66,32.78,137.6,25.97,328.67,155.65,135.48,301.22,105.94,113.64,4.31,15.21,11.21
2018-07-20 14:59:44,0,0,0,17.78,0,0,10.47,0,23.96,18.53,0,21.9,0,5.09,0,0,3.08
2018-07-20 15:04:44,0,0,0,0,0,0,0,0,14.08,10.02,0,5.14,0,0,0,0,0.64
2018-07-20 15:09:44,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0
2018-07-20 15:14:44,0,0,0,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0
2018-07-20 15:19:44,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0
